LOCATION_GROUP,LOCATION_TYPE,LOCATION_CODE,LOCATION,LONGITUDE,LATITUDE
Ismek,Ismek,ISMEK-Avcilar Parseller,AVCILAR,28.706322,40.994455
Ismek,Ismek,ISMEK-Bakirkoy Guzellik Merkezi,BAKIRKÖY,28.876283,40.995383
Ismek,Ismek,ISMEK-Bagcilar Baglar,BAĞCILAR,28.82586,41.030899
Ismek,Ismek,ISMEK-Bagcilar Yildiztepe,BAĞCILAR,28.85434,41.029452
Ismek,Ismek,ISMEK-Esenler Fatih Mahallesi,ESENLER,28.841603,41.021787
Ismek,Ismek,ISMEK-Capa,FATİH,28.932387,41.013871
Ismek,Ismek,ISMEK-Findikzade,FATİH,28.93918,41.013647
Ismek,Ismek,ISMEK-Kozyatagi,KADIKÖY,29.0967,40.974644
Ismek,Ismek,ISMEK-Rasimpasa,KADIKÖY,29.026507,40.994132
Kultur Merkezi,KulturMerkezi,012-Enver Oren Kultur Merkezi,BAHÇELİEVLER,28.818754,41.013616
Kultur Merkezi,KulturMerkezi,012-Taksim Sanat Galerisi,BEYOĞLU,28.984351,41.036582
Kultur Merkezi,KulturMerkezi,012-Adem Basturk Kultur Merkezi,ESENLER,28.884195,41.040078
Kultur Merkezi,KulturMerkezi,012-Ali Emiri Kultur Merkezi,FATİH,28.939853,41.019603
Kultur Merkezi,KulturMerkezi,013-Fatih Resat Nuri Sahnesi,FATİH,28.956106,41.015937
Kultur Merkezi,KulturMerkezi,013-Kagithane Sehir Tiyatrolari,KAĞITHANE,28.970873,41.07938
Kultur Merkezi,KulturMerkezi,012-Idris Gulluce Kultur Merkezi,TUZLA,29.30279,40.849875
Kultur Merkezi,KulturMerkezi,013-Muhsin Ertugrul Sahnesi,ŞİŞLİ,28.988714,41.046384
Kutuphane,Kutuphane,014-Baris Manco Halk ve Cocuk Kutuphanesi,ESENLER,28.873136,41.053895
Kutuphane,Kutuphane,014-Esenler Millet Bahcesi Kutuphanesi,ESENLER,28.880071,41.059893
Kutuphane,Kutuphane,014-Erdem Beyazit Kutuphanesi,EYÜPSULTAN,28.925762,41.078847
Kutuphane,Kutuphane,014-Ahmet Kabakli Kutuphanesi,FATİH,28.939788,41.019462
Kutuphane,Kutuphane,014-Ayse Hatun Tekkesi Kutuphanesi,FATİH,28.934745,41.026045
Kutuphane,Kutuphane,014-Kartal Halil Inalcik Kutuphanesi,KARTAL,29.161455,40.905838
Kutuphane,Kutuphane,014-Sefakoy Metin And Kutuphanesi,KÜÇÜKÇEKMECE,28.792729,40.997973
Kutuphane,Kutuphane,014-Sultangazi Ahmed Arif Halk Kutuphanesi,SULTANGAZİ,28.905229,41.09394
Kutuphane,Kutuphane,014-Alemdag Fatma Aliye Kutuphanesi,ÇEKMEKÖY,29.238127,41.053129
Otobus Duragi,Durak,038-Kozyatagi Otobus Duragi,KADIKÖY,29.099479,40.975596
Metrobus Duragi,Metrobus Duragi,069-Avcilar Merkez Universite Metrobus Duragi,AVCILAR,28.725085,40.984185
Metrobus Duragi,Metrobus Duragi,069-Cihangir Universite Metrobus Duragi,AVCILAR,28.713621,40.990787
Metrobus Duragi,Metrobus Duragi,069-Mustafa Kemal Pasa Metrobus Duragi,AVCILAR,28.706011,40.995149
Metrobus Duragi,Metrobus Duragi,069-Saadetdere Mahallesi Metrobus Duragi,AVCILAR,28.694133,40.99984
Metrobus Duragi,Metrobus Duragi,069-Sukrubey Metrobus Duragi,AVCILAR,28.731334,40.980361
Metrobus Duragi,Metrobus Duragi,069-Bahcelievler Metrobus Duragi,BAHÇELİEVLER,28.863467,40.995052
Metrobus Duragi,Metrobus Duragi,069-Yenibosna Metrobus Duragi,BAHÇELİEVLER,28.834646,40.992408
Metrobus Duragi,Metrobus Duragi,069-Incirli Metrobus Duragi,BAKIRKÖY,28.872508,40.997895
Metrobus Duragi,Metrobus Duragi,069-Bayrampasa Maltepe Metrobus Duragi,BAYRAMPAŞA,28.921474,41.023941
Metrobus Duragi,Metrobus Duragi,069-Beykent Hadimkoy Metrobus Duragi,BEYLİKDÜZÜ,28.631704,41.019284
Metrobus Duragi,Metrobus Duragi,069-Beylikduzu Belediye Metrobus Duragi,BEYLİKDÜZÜ,28.649426,41.012535
Metrobus Duragi,Metrobus Duragi,069-Beylikduzu Metrobus Duragi,BEYLİKDÜZÜ,28.656623,41.009845
Metrobus Duragi,Metrobus Duragi,069-Beylikduzu Tuyap Metrobus Duragi,BEYLİKDÜZÜ,28.625046,41.022027
Metrobus Duragi,Metrobus Duragi,069-Cumhuriyet Mahallesi Metrobus Duragi,BEYLİKDÜZÜ,28.640886,41.015778
Metrobus Duragi,Metrobus Duragi,069-Haramidere Metrobus Duragi,BEYLİKDÜZÜ,28.673333,41.006074
